,上場日,会社名,コード,公募株数(千株),売買単位,仮条件下限,仮条件上限,市場,公募価格,売り出し(千株),オーバーアロットメント(千株)
0,2013/12/24,ヒューマン・メタボローム・テクノロジーズ（株）,6090,850,100.0,"1,300","1,400",マザーズ,1400,571.5,150
1,2013/12/19,（株）ダイキアクシス,4245,500,100.0,"1,200","1,300",第二部,1300,200,105
2,2013/12/19,シンプロメンテ（株）,6086,200,100.0,910,950,マザーズ,950,150,52.5
3,2013/12/19,（株）ウィルグループ,6089,333.2,100.0,"2,770","2,870",第二部,2870,405.1,110.7
4,2013/12/19,（株）足利ホールディングス,7167,55000,100.0,400,420,第一部,420,,"8,250"
5,2013/12/18,（株）イーグランド,3294,250,100.0,"3,030","3,300",JQスタンダード,3300,100,52.5
6,2013/12/18,アーキテクツ・スタジオ・ジャパン（株）,6085,250,100.0,"1,850","2,050",マザーズ,2050,50,45
7,2013/12/18,（株）アビスト,6087,450,100.0,"3,250","3,450",JQスタンダード,3450,74.4,78.6
8,2013/12/18,（株）シグマクシス,6088,211.7,100.0,"2,830","3,010",マザーズ,3010,"1,377.3",238.3
9,2013/12/17,アズマハウス（株）,3293,550,100.0,"1,500","1,600",JQスタンダード,1600,575,168.7
10,2013/12/13,（株）日本アクア,1429,1570,100.0,"1,480","1,650",マザーズ,1650,,235.5
11,2013/12/11,エンカレッジ・テクノロジ（株）,3682,330,100.0,"1,550","1,730",マザーズ,1730,317.6,97.1
12,2013/12/11,（株）オウチーノ,6084,130,100.0,"3,300","3,500",マザーズ,3500,10.2,20
13,2013/12/10,（株）ブイキューブ,3681,600,100.0,"3,000","3,300",マザーズ,3300,567.7,175.1
14,2013/12/09,（株）ホットリンク,3680,188.8,100.0,"2,570","2,700",マザーズ,2700,280,70.3
15,2013/12/06,オンコリスバイオファーマ（株）,4588,1820,100.0,"2,420","2,600",マザーズ,2600,400,333
16,2013/12/03,（株）ライドオン・エクスプレス,6082,250,100.0,"1,790","2,000",マザーズ,2000,790,156
17,2013/12/02,ＥＲＩホールディングス（株）,6083,-,100.0,0,0,第一部,-,0,0
18,2013/11/29,アライドアーキテクツ（株）,6081,400,100.0,"1,500","1,700",マザーズ,1700,262.5,99.3
19,2013/11/25,ＯＣＨＩホールディングス（株）,3166,-,100.0,0,0,第二部,-,0,0
20,2013/11/22,（株）じげん,3679,1000,100.0,500,600,マザーズ,600,"7,550","1,282.5"
21,2013/11/20,（株）メディアドゥ,3678,270,100.0,"3,000","3,300",マザーズ,3300,70,51
22,2013/11/20,Ｍ＆Ａキャピタルパートナーズ（株）,6080,150,100.0,"2,800","3,000",マザーズ,3000,,22.5
23,2013/11/19,（株）ＡＮＡＰ,3189,320,100.0,960,"1,000",JQスタンダード,1000,150,70.5
24,2013/11/01,飯田グループホールディングス（株）,3291,-,100.0,0,0,第一部,-,0,0
25,2013/10/22,（株）システム情報,3677,400,100.0,700,740,JQスタンダード,740,200,90
26,2013/10/08,（株）エナリス,6079,4170,100.0,240,280,マザーズ,280,"3,600","1,160"
27,2013/10/04,（株）バリューＨＲ,6078,245,100.0,"1,800","2,000",JQスタンダード,2000,115,54
28,2013/10/01,東急不動産ホールディングス（株）,3289,-,100.0,0,0,第一部,-,0,0
29,2013/10/01,（株）ハーツユナイテッドグループ,3676,-,100.0,0,0,第一部,-,0,0
30,2013/10/01,カーリットホールディングス（株）,4275,-,100.0,0,0,第一部,-,0,0
31,2013/10/01,ＩＪＴテクノロジーホールディングス（株）,7315,-,100.0,0,0,第二部,-,0,0
32,2013/10/01,（株）紀陽銀行,8370,-,100.0,0,0,第一部,-,0,0
33,2013/09/25,（株）エンビプロ・ホールディングス,5698,1620,100.0,630,700,第二部,700,,243
34,2013/09/20,（株）オープンハウス,3288,5400,100.0,"1,580","1,780",第一部,1780,"2,575",400
35,2013/09/17,（株）タイセイ,3359,600,100.0,0,0,マザーズ,1231,140,111
36,2013/09/13,（株）サンワカンパニー,3187,380,100.0,870,950,マザーズ,950,,57
37,2013/08/29,（株）Ｎ・フィールド,6077,355,100.0,"1,300","1,500",マザーズ,1500,55,61.5
38,2013/07/30,（株）ネクステージ,3186,637,100.0,"1,500","1,700",マザーズ,1700,80,107.5
39,2013/07/10,夢展望（株）,3185,300,100.0,"2,400","2,600",マザーズ,2600,100.3,60
40,2013/07/10,（株）フォトクリエイト,6075,100,100.0,"1,470","1,670",マザーズ,1670,100,30
41,2013/07/09,（株）ビットアイル,3811,2217.2,100.0,0,0,第一部,934,"2,880",764.5
42,2013/07/03,サントリー食品インターナショナル（株）,2587,93000,100.0,"3,000","3,800",第一部,3100,"26,000","6,200"
43,2013/07/01,トラストホールディングス（株）,3286,-,100.0,0,0,マザーズ,-,0,0
44,2013/06/24,（株）カワタ,6292,-,1000.0,0,0,第二部,-,0,0
45,2013/06/21,（株）ティア,2485,-,100.0,0,0,第二部,-,0,0
46,2013/06/20,富士機械製造（株）,6134,-,100.0,0,0,第一部,-,0,0
47,2013/06/11,ペプチドリーム（株）,4587,1660,100.0,"1,920","2,500",マザーズ,2500,"1,040",405
48,2013/06/03,（株）クロス・マーケティンググループ,3675,-,100.0,0,0,マザーズ,-,0,0
49,2013/05/30,（株）ジェイアイエヌ,3046,-,100.0,0,0,第一部,5432,600,90
50,2013/04/25,（株）オークファン,3674,242,100.0,"2,280","2,600",マザーズ,2600,78,48
51,2013/04/24,サクセスホールディングス（株）,6065,-,100.0,0,0,第二部,-,0,0
52,2013/04/09,サンヨーホームズ（株）,1420,1800,100.0,600,700,第二部,700,,270
53,2013/04/04,東洋ビジネスエンジニアリング（株）,4828,-,100.0,0,0,第二部,-,0,0
54,2013/04/03,寿スピリッツ（株）,2222,-,100.0,0,0,第二部,-,0,0
55,2013/04/01,（株）フージャースホールディングス,3284,-,100.0,0,0,第一部,-,0,0
56,2013/04/01,日本製紙（株）,3863,-,100.0,0,0,第一部,-,0,0
57,2013/03/27,タマホーム（株）,1419,6500,100.0,870,980,第一部,980,"1,539","1,205.8"
58,2013/03/22,（株）きちり,3082,-,100.0,0,0,第二部,-,0,0
59,2013/03/22,（株）ブロードリーフ,3673,2300,100.0,"1,040","1,080",第一部,1080,"16,480","2,813"
60,2013/03/21,エヌ・デーソフトウェア（株）,3794,-,100.0,0,0,第二部,-,0,0
61,2013/03/19,（株）アサンテ,6073,1000,100.0,900,930,第二部,930,"1,600",390
62,2013/03/19,（株）ファルテック,7215,347.5,100.0,"3,750","3,940",第二部,3940,560,100
63,2013/03/15,（株）ウォーターダイレクト,2588,250,100.0,"1,000","1,200",マザーズ,1200,,37.5
64,2013/03/15,（株）東祥,8920,600,100.0,0,0,第二部,1194,2000,200
65,2013/03/15,鴻池運輸（株）,9025,2550,100.0,980,"1,020",第一部,1020,"3,425.7",896.3
66,2013/03/15,（株）クロップス,9428,-,100.0,0,0,第二部,-,0,0
67,2013/03/14,（株）オルトプラス,3672,900,100.0,"1,400","1,500",マザーズ,1500,456.5,203
68,2013/03/13,オイシックス（株）,3182,500,100.0,"1,000","1,200",マザーズ,1200,200,105
69,2013/03/12,ソフトマックス（株）,3671,300,100.0,"1,100","1,300",マザーズ,1300,200,75
70,2013/03/08,エレコム（株）,6750,1500,100.0,0,0,第一部,1407,1200,400
71,2013/03/01,（株）マネースクウェア・ジャパン,8728,-,1.0,0,0,第二部,-,0,0
72,2013/02/14,（株）ビューティガレージ,3180,95,100.0,"2,100","2,300",マザーズ,2300,124,20
73,2013/02/13,（株）メドレックス,4586,2202.2,100.0,800,"1,000",マザーズ,1000,128.2,349.5
74,2013/01/04,（株）日本取引所グループ,8697,-,100.0,0,0,第一部,-,0,0
